,type,count
0,R:ORTH,1963
1,R:OTHER,1961
2,R:NOUN,1861
3,R:SPELL,494
4,M:DET,323
5,R:VERB:FORM,269
6,R:PREP,254
7,R:VERB,164
8,R:MORPH,159
9,M:VERB:FORM,140
10,M:PREP,127
11,R:ADJ,105
12,R:NOUN:NUM,98
13,M:PRON,97
14,U:PREP,91
15,M:NOUN,89
16,U:DET,81
17,R:WO,72
18,R:VERB:TENSE,71
19,R:DET,70
20,M:VERB,69
21,M:CONJ,69
22,R:PUNCT,63
23,M:OTHER,63
24,R:PART,59
25,R:VERB:SVA,55
26,U:NOUN,50
27,U:OTHER,49
28,U:PUNCT,48
29,R:PRON,46
30,M:VERB:TENSE,39
31,R:ADV,37
32,U:VERB:FORM,27
33,U:ADV,26
34,M:ADV,20
35,U:PRON,15
36,M:ADJ,15
37,U:ADJ,10
38,U:VERB,10
39,M:PUNCT,10
40,R:VERB:INFL,9
41,U:VERB:TENSE,9
42,U:CONJ,7
43,U:PART,4
44,R:NOUN:INFL,4
45,R:NOUN:POSS,1
46,R:CONJ,1
